,NE_L3
0,107.43518394351045
1,107.43518394351045
2,106.00292737779233
3,106.00292737779233
4,106.00403158440767
5,106.00403158440767
6,102.476937508748
7,100.5417943900275
8,97.50074811938549
9,96.06228062729359
10,96.06228062729359
11,94.64040457454507
12,94.64040457454507
13,94.64040457454507
14,96.06769376879475
15,96.06769376879475
16,97.50745193650025
17,96.06769376879475
18,96.06958140726329
19,99.03490911950517
20,102.06904517868547
21,104.57756125761651
22,105.9983016884478
23,105.9983016884478
